Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Image Src,Image Alt Text
10pcs-bon-voyage-pots,10pcs Bon Voyage Pots,"<p>10-piece Bon Voyage Super stainless steel pot set with black handles and lids. South African quality brand, includes 5 pots in varying sizes.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,,850.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/10pcs-bon-voyage-pots.jpg,10pcs Bon Voyage Pots
10pcs-granite-non-stick-cookware-set-beige,10pcs Granite Non-Stick Cookware Set -Beige,"<p>10-piece granite non-stick cookware set in a light beige stone speckled finish. Includes assorted pots with tempered glass lids, stay-cool wood-look handles and a durable non-stick granite coating - ideal for everyday cooking.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,GNS-10PC-BEIGE,1710.00,10,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-8DDnTA6kOL7goxcY7ziz5kpFLah0oM.png,10pcs Granite Non-Stick Cookware Set -Beige
10pcs-granite-non-stick-cookware-set-black,10pcs Granite Non-Stick Cookware Set -Black,"<p>10-piece granite non-stick cookware set in a sleek black speckled finish. Includes assorted pots with tempered glass lids, stay-cool wood-look handles and a durable non-stick granite coating - ideal for everyday cooking.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,GNS-10PC-BLACK,1710.00,10,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-05u5FrBOsyLtrZH4WSoSew9bYiYHjs.png,10pcs Granite Non-Stick Cookware Set -Black
10pcs-granite-non-stick-cookware-set-brown,10pcs Granite Non-Stick Cookware Set -Brown,"<p>10-piece granite non-stick cookware set in a rich brown speckled finish. Includes assorted pots with tempered glass lids, stay-cool wood-look handles and a durable non-stick granite coating - ideal for everyday cooking.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,GNS-10PC-BROWN,1710.00,10,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-3GfXxFSoSyI0i8K6oPb7tOHTcFkjZm.png,10pcs Granite Non-Stick Cookware Set -Brown
10pcs-granite-non-stick-cookware-set-grey,10pcs Granite Non-Stick Cookware Set -Grey,"<p>10-piece granite non-stick cookware set in a dark grey speckled finish. Includes assorted pots with tempered glass lids, stay-cool wood-look handles and a durable non-stick granite coating - ideal for everyday cooking.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,GNS-10PC-GREY,1710.00,10,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-mWiqdLMP0DUix7i52B3CQK5BliYLgA.png,10pcs Granite Non-Stick Cookware Set -Grey
10pcs-hart-pots,10pcs Hart Pots,<p>10pcs Hart Pots</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,,995.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/hart-pots.jpg,10pcs Hart Pots
10pcs-non-stick-set-pots,10pcs Non Stick Set Pots,"<p>Premium 10-piece non-stick cookware set in elegant matte black with natural wooden handles. Includes various sized pots, pans, and a square grill pan with tempered glass lids. Perfect for modern kitchens with a stylish wood accent finish.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,,930.00,20,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/10pcs-non-stick-set-pots.jpg,10pcs Non Stick Set Pots
10pcs-non-stick-pots,10pcs Non-Stick Pots,<p>Premium 10-piece grey granite-style non-stick pot set with glass lids. Includes various sizes for all your cooking needs. Durable and easy to clean.</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-POTS-001,1720.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/10pcs-non-stick-pots.jpg,10pcs Non-Stick Pots
10pcs-pasta-bowls,10pcs Pasta Bowls,<p>Set of 10 grey stackable pasta/soup bowls. Perfect for family dining. Durable construction and easy to store.</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-PASTA-001,290.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/10pcs-pasta-bowls.jpg,10pcs Pasta Bowls
11-inch-fluted-petal-ceramic-serving-bowl-10pcs,11-Inch Fluted Petal Ceramic Serving Bowl-10pcs,"<p>Set of 10 elegant 11-inch fluted petal ceramic serving bowls in a glossy white glaze. The ribbed petal exterior adds a refined decorative touch, perfect for salads, sides and entertaining.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,FPB-11IN-10PC,950.00,10,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-RKisJXFkkiwNOxdPOVTYgGvFb41EfQ.png,11-Inch Fluted Petal Ceramic Serving Bowl-10pcs
12pcs-silicon-spoon-set,12pcs Silicon Spoon Set,"<p>Complete set of 12 colorful silicone kitchen utensils. Heat resistant, non-stick friendly, and easy to clean. Includes various spoons and spatulas.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-SPOON-001,200.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/12pcs-silicone-spoon.jpg,12pcs Silicon Spoon Set
12pcs-spice-jar-rotating,12pcs Spice Jar Rotating,<p>12-piece rotating spice jar set with stainless steel stand and lids</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,,350.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/12pcs-spice-jar-rotating.jpg,12pcs Spice Jar Rotating
14pcs-aluminium-dolphin-pots,14pcs Aluminium Dolphin Pots,<p>14-piece black aluminium dolphin pot set with glass lids and cooking utensils</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,,850.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/14pcs-aluminium-dolphin-pots.jpg,14pcs Aluminium Dolphin Pots
15l-electric-air-fryer,15L Electric Air Fryer,<p>15L Electric Air Fryer</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,,1100.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/air-fryer.jpg,15L Electric Air Fryer
19pcs-silicon-kitchen-set,19pcs Silicon Kitchen Set,"<p>Complete 19-piece silicone kitchen utensil set in various colors including pink, mint, grey, and black. Heat resistant, non-stick friendly. Includes all essential cooking tools.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-SIL19-001,350.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/silicon-kitchen-set-19pcs.jpg,19pcs Silicon Kitchen Set
19pcs-silicone-kitchen-set,19pcs Silicone Kitchen Set,"<p>19-piece silicone kitchen utensil set with wooden handles. Includes spatulas, spoons, tongs, whisk, knives, scissors, and matching storage container. Available in 6 colors: black, grey, white, pink, mint green, and teal.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,,450.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/19pcs-silicone-kitchen-set.jpg,19pcs Silicone Kitchen Set
jia-jia-winter-blanket-001-rose-mosaic,1Ply Jia Jia Winter Blanket 001 - Rose Mosaic,"<p>The 1Ply Jia Jia Winter Blanket 001 is a plush, heavyweight mink-style winter blanket in a cream base with a vibrant mosaic pattern of red, pink, burgundy and charcoal squares, finished with a soft dusty-rose pebble-textured border. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318773874-h76lfs.webp,1Ply Jia Jia Winter Blanket 001 - Rose Mosaic
jia-jia-winter-blanket-002-blue-plaid,1Ply Jia Jia Winter Blanket 002 - Blue Plaid,"<p>The 1Ply Jia Jia Winter Blanket 002 is a plush, heavyweight mink-style winter blanket in a bold blue plaid (tartan) design with white and mauve cross-stripes over a pebble-textured base, finished with a soft blue border. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318777567-u0co0s.webp,1Ply Jia Jia Winter Blanket 002 - Blue Plaid
jia-jia-winter-blanket-003-charcoal-spiral,1Ply Jia Jia Winter Blanket 003 - Charcoal Spiral,"<p>The 1Ply Jia Jia Winter Blanket 003 is a plush, heavyweight mink-style winter blanket in charcoal grey with a pebble texture, featuring a bold pink-red spiral motif and scattered red, white and black polka dots. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318740613-h3bopq.webp,1Ply Jia Jia Winter Blanket 003 - Charcoal Spiral
jia-jia-winter-blanket-004-charcoal-mosaic,1Ply Jia Jia Winter Blanket 004 - Charcoal Mosaic,"<p>The 1Ply Jia Jia Winter Blanket 004 is a plush, heavyweight mink-style winter blanket in charcoal grey with a pebble texture, featuring a striking cream and black geometric mosaic pattern radiating across the centre. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318740449-er0jjg.webp,1Ply Jia Jia Winter Blanket 004 - Charcoal Mosaic
jia-jia-winter-blanket-005-burgundy-floral,1Ply Jia Jia Winter Blanket 005 - Burgundy Floral,"<p>The 1Ply Jia Jia Winter Blanket 005 is a plush, heavyweight mink-style winter blanket with a deep burgundy honeycomb-textured border and a cream central panel featuring large pink roses, red blossoms and purple leaves. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318743190-ifzgbe.webp,1Ply Jia Jia Winter Blanket 005 - Burgundy Floral
